Индекс	Имя	ОС	Описание
0	$MFT	любая	Главная файловая таблица (Master File Table, MFT)
1	$MFTMirr	любая	Резервная копия первых четырех элементов MFT
2	$LogFile	любая	Журнал транзакций (transactional logging file)
3	$Volume	любая	Серийный номер, время создания, dirty flag (флаг не сброшенного кэша) тома
4	$AttrDef	любая	Определение атрибутов
5	. (точка)	любая	Корневой каталог (root directory) тома
6	$Bitmap	любая	Карта свободного/занятого пространства
7	$Boot	любая	Загрузочная запись (boot record) тома
8	$BadClus	любая	Список плохих кластеров (bad clusters) тома
9	$Quota	NT	Информация о квотах (quota information)
9	$Secure	2K	)
10	$UpCase	любая	Таблица заглавных символов (uppercase characters) для трансляции имен
11	$Extend	2K	Каталоги: $ObjId, $Quota, $Reparse, $UsnJrnl
12<->15	не используется	любая	Помечены как использованные, но в действительности пустые
16<->23	не используется	любая	Помечены как неиспользуемые
любой	ObjId	2K	Уникальные идентификаторы каждого файла
любой	$Quota	2K	Информация о квотах (quota information)
любой	$Reparse	2K	Информация типа reparse point
любой	$UsnJrnl	2K	Журнал шифрованной файловой системы (journaling of encryption)
> 24	файл пользователя	любая	Обычные файлы
> 24	каталог пользователя	любая	Обычные каталоги
